clinical_notes|idx_clinical_notes_patient_id|CREATE INDEX idx_clinical_notes_patient_id ON public.clinical_notes USING btree (patient_id)
clinical_notes|idx_clinical_notes_tenant_id|CREATE INDEX idx_clinical_notes_tenant_id ON public.clinical_notes USING btree (tenant_id)
clinical_pharmacy_reviews|clinical_pharmacy_reviews_pkey|CREATE UNIQUE INDEX clinical_pharmacy_reviews_pkey ON public.clinical_pharmacy_reviews USING btree (id)
clinical_pharmacy_reviews|idx_clinical_pharmacy_reviews_tenant_id|CREATE INDEX idx_clinical_pharmacy_reviews_tenant_id ON public.clinical_pharmacy_reviews USING btree (tenant_id)
clinical_photos_meta|clinical_photos_meta_pkey|CREATE UNIQUE INDEX clinical_photos_meta_pkey ON public.clinical_photos_meta USING btree (id)
clinical_photos_meta|idx_clinical_photos_meta_patient|CREATE INDEX idx_clinical_photos_meta_patient ON public.clinical_photos_meta USING btree (tenant_id, patient_id)
clinical_records|clinical_records_pkey|CREATE UNIQUE INDEX clinical_records_pkey ON public.clinical_records USING btree (id)
clinical_smart_templates|clinical_smart_templates_pkey|CREATE UNIQUE INDEX clinical_smart_templates_pkey ON public.clinical_smart_templates USING btree (id)
clinical_smart_templates|unique_doctor_shortcut|CREATE UNIQUE INDEX unique_doctor_shortcut ON public.clinical_smart_templates USING btree (tenant_id, doctor_id, shortcut)
clinical_templates|clinical_templates_pkey|CREATE UNIQUE INDEX clinical_templates_pkey ON public.clinical_templates USING btree (id)
clinical_templates|idx_clinical_templates_dept|CREATE INDEX idx_clinical_templates_dept ON public.clinical_templates USING btree (department_id)
clinical_templates|idx_clinical_templates_tenant|CREATE INDEX idx_clinical_templates_tenant ON public.clinical_templates USING btree (tenant_id)
cme_activities|cme_activities_pkey|CREATE UNIQUE INDEX cme_activities_pkey ON public.cme_activities USING btree (id)
cme_registrations|cme_registrations_pkey|CREATE UNIQUE INDEX cme_registrations_pkey ON public.cme_registrations USING btree (id)
cochlear_implant_registry|cochlear_implant_registry_pkey|CREATE UNIQUE INDEX cochlear_implant_registry_pkey ON public.cochlear_implant_registry USING btree (id)
coding|coding_pkey|CREATE UNIQUE INDEX coding_pkey ON public.coding USING btree (id)
coding|idx_coding_encounter_ref|CREATE INDEX idx_coding_encounter_ref ON public.coding USING btree (encounter_ref)
coding|idx_coding_patient_id|CREATE INDEX idx_coding_patient_id ON public.coding USING btree (patient_id)
coding|idx_coding_tenant_id|CREATE INDEX idx_coding_tenant_id ON public.coding USING btree (tenant_id)
company_settings|company_settings_pkey|CREATE UNIQUE INDEX company_settings_pkey ON public.company_settings USING btree (setting_key)
consent_forms|consent_forms_pkey|CREATE UNIQUE INDEX consent_forms_pkey ON public.consent_forms USING btree (id)
consent_forms|idx_consent_forms_tenant_facility|CREATE INDEX idx_consent_forms_tenant_facility ON public.consent_forms USING btree (tenant_id, facility_id)
controlled_drug_log|controlled_drug_log_pkey|CREATE UNIQUE INDEX controlled_drug_log_pkey ON public.controlled_drug_log USING btree (id)
controlled_drug_log|idx_controlled_log_drug|CREATE INDEX idx_controlled_log_drug ON public.controlled_drug_log USING btree (tenant_id, drug_id, at)
controlled_drug_log|idx_controlled_log_tenant_id|CREATE INDEX idx_controlled_log_tenant_id ON public.controlled_drug_log USING btree (tenant_id)
cosmetic_cases|cosmetic_cases_pkey|CREATE UNIQUE INDEX cosmetic_cases_pkey ON public.cosmetic_cases USING btree (id)
cosmetic_cases|idx_cosmetic_cases_tenant_id|CREATE INDEX idx_cosmetic_cases_tenant_id ON public.cosmetic_cases USING btree (tenant_id)
cosmetic_consents|cosmetic_consents_pkey|CREATE UNIQUE INDEX cosmetic_consents_pkey ON public.cosmetic_consents USING btree (id)
